Transaction Date,Vendor,Type,Amount,Category
22/Jan/2021,Bogan LLC,internet,£28.54,Sports
13/Jan/2022,"Leffler, Veum and Larkin",direct debit,£8.18,Music
30/Jul/2020,Bahringer-Morar,direct debit,£34.30,Grocery
17/Sep/2022,"Bechtelar, Osinski and Jaskolski",direct debit,£1.49,Home
20/Mar/2021,Fay-Bartell,card,£21.20,Grocery
17/Dec/2024,Schulist and Sons,internet,£5.59,Kids
24/Sep/2020,Schmeler-Fisher,internet,£47.72,Books
03/Aug/2020,Predovic Inc,card,£38.53,Kids
21/Jun/2021,Schinner-Schuppe,card,£26.14,Kids
10/Oct/2022,Quigley-Yost,card,£1.69,Tools
15/Aug/2024,Klein-Keebler,card,£37.88,Home
11/Apr/2022,D'Amore Inc,internet,£38.00,Computers
23/Feb/2024,Marvin-Ruecker,card,£44.77,Baby
27/Apr/2023,Collier Group,direct debit,£34.01,Games
03/Apr/2024,"Quigley, Gleason and Legros",internet,£31.57,Movies
24/Oct/2024,"Schiller, Lowe and Fay",card,£48.52,Computers
31/Jul/2024,Welch and Sons,internet,£12.99,Kids
13/Feb/2022,Dickinson Group,card,£30.72,Tools
03/Jan/2021,Wilkinson-Stokes,internet,£45.12,Outdoors
24/Apr/2020,Nikolaus-Willms,direct debit,£7.90,Clothing
22/Sep/2023,Aufderhar Group,internet,£31.84,Clothing
31/Jul/2020,Zulauf-Stracke,internet,£3.58,Games
22/Jun/2023,"Morar, Upton and Luettgen",card,£11.96,Automotive
29/Sep/2022,Kub-Deckow,internet,£49.16,Outdoors
25/Aug/2020,Zieme LLC,card,£36.54,Outdoors
14/Dec/2022,"Barton, Gutmann and Mertz",internet,£31.25,Books
20/Jul/2023,Hartmann-Lindgren,card,£42.93,Garden
03/Dec/2021,"Hickle, McLaughlin and Connelly",internet,£27.12,Books
20/Apr/2021,Muller-Greenholt,internet,£42.74,Books
22/Apr/2023,White Group,direct debit,£28.85,Games
01/Nov/2024,Schowalter Group,card,£33.13,Tools
20/Jun/2021,"Predovic, Veum and Bergnaum",direct debit,£24.30,Movies
20/Nov/2024,"Koch, Ferry and Robel",card,£14.18,Computers
19/Feb/2024,Baumbach-Senger,direct debit,£14.27,Books
07/Jul/2020,"Balistreri, Erdman and Morar",card,£49.65,Jewelry
05/Jun/2024,Rosenbaum-Stanton,direct debit,£25.78,Books
19/Apr/2023,Heathcote-Walker,internet,£22.02,Computers
06/Jun/2021,"Hickle, Botsford and Senger",direct debit,£17.61,Kids
16/Mar/2022,"Abshire, Nicolas and Mueller",internet,£20.88,Home
24/Feb/2023,Boyle-Huels,card,£41.09,Garden
19/Sep/2024,Yundt-Strosin,internet,£1.90,Computers
13/Sep/2022,"Greenfelder, Goyette and Keeling",card,£9.71,Garden
05/Jan/2023,"Corwin, Beahan and Schamberger",direct debit,£36.77,Automotive
07/Feb/2024,Dickens and Sons,card,£48.53,Sports
05/Aug/2020,Ritchie-Lueilwitz,direct debit,£30.03,Beauty
20/Apr/2022,"O'Conner, Beatty and Simonis",card,£16.62,Baby
09/Dec/2023,Rippin-Beer,card,£10.70,Grocery
06/Feb/2020,Casper Inc,direct debit,£23.45,Tools
13/Aug/2023,King-Cormier,direct debit,£9.65,Computers
27/Feb/2023,Bradtke and Sons,card,£33.44,Movies
31/Oct/2021,Konopelski Group,internet,£15.88,Movies
22/Aug/2021,"Schimmel, Huels and Kirlin",direct debit,£5.36,Kids
11/Mar/2023,"Kirlin, Rolfson and Simonis",internet,£34.77,Home
02/May/2020,"Harvey, Christiansen and Farrell",direct debit,£24.98,Beauty
08/Sep/2020,O'Conner LLC,direct debit,£18.49,Kids
20/Jan/2024,Reinger-Hyatt,card,£21.21,Sports
28/Sep/2021,"Osinski, Hodkiewicz and Moen",direct debit,£6.74,Clothing
18/May/2022,"Jaskolski, Cummings and Leuschke",direct debit,£3.62,Computers
27/Jun/2022,"Hauck, Bogisich and Nitzsche",direct debit,£30.11,Industrial
16/Sep/2021,Simonis-Wolff,card,£41.60,Electronics
23/Feb/2024,Conn-Cummings,card,£32.67,Garden
11/Jan/2021,Willms-Hyatt,card,£43.30,Jewelry
08/May/2023,Hilpert-Carter,card,£38.24,Clothing
19/Jul/2022,"Reichert, Schamberger and Toy",internet,£43.16,Electronics
10/Oct/2021,Kilback-Schultz,internet,£30.93,Outdoors
27/Sep/2020,Hintz and Sons,card,£34.24,Industrial
17/Jan/2023,Kertzmann-Cremin,direct debit,£32.89,Beauty
21/Dec/2021,Willms Group,card,£7.93,Sports
13/Apr/2020,Huels Group,direct debit,£15.43,Computers
02/Apr/2023,Cremin Inc,direct debit,£10.15,Grocery
29/Mar/2023,Rohan-Keeling,card,£38.41,Computers
22/Jun/2022,Mayer and Sons,card,£35.08,Games
11/Jul/2022,"Heaney, Schroeder and Heller",direct debit,£15.63,Industrial
11/Sep/2024,"Parker, Cummerata and Baumbach",internet,£45.56,Home
16/Jul/2024,Mayer Group,internet,£38.19,Electronics
10/Dec/2020,"Zieme, Nitzsche and Roberts",direct debit,£43.34,Clothing
06/Feb/2020,"Bartell, Bogan and Kshlerin",card,£38.63,Sports
07/Aug/2020,"Green, Bechtelar and Rohan",card,£12.54,Toys
28/Nov/2021,Considine LLC,card,£34.20,Toys
21/Oct/2024,"Rippin, Daniel and Robel",card,£33.61,Computers
05/Dec/2021,"Hickle, O'Keefe and Hand",internet,£3.44,Clothing
